destination,average_difficulty_score,percentage_difficult_flights,count_of_difficult_flights,total_flights
BRU,0.34458731160020,100.00000,3064,3064
ATH,0.29893755104485,100.00000,2863,2863
FAT,0.25430851649371,100.00000,1097,1097
FAI,0.27575717427093,100.00000,1266,1266
FRA,0.26052270862118,100.00000,5883,5883
AMS,0.27053000507449,100.00000,2305,2305
MUC,0.26384822633614,100.00000,2100,2100
EDI,0.26114979913448,100.00000,1488,1488
CDG,0.25592908349884,100.00000,2510,2510
GRU,0.24190106928585,100.00000,3301,3301
SJC,0.23512683405613,100.00000,1386,1386
SNN,0.25035681061934,100.00000,1391,1391
ONT,0.23890646412727,100.00000,1353,1353
ELP,0.22374951183257,100.00000,700,700
RNO,0.23082090304748,100.00000,1110,1110
SLN,0.22362709034324,100.00000,377,377
EGE,0.22196352334774,100.00000,287,287
SUN,0.21888720017786,100.00000,262,262
GUA,0.19090485673562,100.00000,452,452
HND,0.22844319064585,95.56890,3343,3498
ASE,0.21369388811204,93.97944,640,681
HNL,0.18480057805690,88.65271,2711,3058
DEC,0.20172542126359,77.98913,287,368
MCW,0.19591252427226,70.12195,230,328
LHR,0.20328385980583,69.62882,3189,4580
SMF,0.21213719969946,64.01721,3423,5347
MDT,0.18509027933744,60.65397,1688,2783
SDF,0.18143324710404,59.35374,1396,2352
ORF,0.19684598652585,56.98622,1819,3192
YVR,0.18225875960175,55.27950,1513,2737
ABE,0.17304544615051,52.87648,625,1182
PDX,0.18678286478843,51.31399,4491,8752
SJU,0.18937175989994,51.12948,1856,3630
KEF,0.16562471914628,50.68871,736,1452
OKC,0.17445434114613,50.24800,1317,2621
ANC,0.16256778919149,49.96738,1532,3066
SYR,0.18570157678616,49.59190,1519,3063
PWM,0.17469853963836,49.37796,1667,3376
PVD,0.16850544447374,49.12060,782,1592
BTV,0.18614753559437,49.09444,1518,3092
JAC,0.18543266156495,49.01257,1092,2228
SNA,0.17299688870119,48.74321,1435,2944
CHO,0.17001245249222,48.66033,563,1157
LNK,0.17529716196552,48.47796,1067,2201
RIC,0.17772245834801,48.32122,1396,2889
CAE,0.16729653931146,48.08970,579,1204
YWG,0.17760447882170,48.00824,699,1456
GEG,0.17209982247213,47.78988,746,1561
BHM,0.16669396260782,47.53401,559,1176
AVP,0.17204229456723,47.41784,505,1065
SAT,0.17924947268948,47.32114,1475,3117
RHI,0.17070835486416,47.19101,420,890
GSP,0.17166102045575,47.04830,789,1677
JAX,0.18294048816364,46.39889,1340,2888
TYS,0.17005840259574,45.76006,1171,2559
ABQ,0.17694125964786,44.97669,1061,2359
SEA,0.17743579207863,44.70844,4723,10564
AVL,0.16955081396025,44.28173,635,1434
BZN,0.17327518380839,44.19355,1370,3100
BGR,0.16965157233838,43.00000,559,1300
ROA,0.16793203792048,42.34667,794,1875
GSO,0.16504284615627,40.04796,501,1251
CHS,0.16149677094468,39.51952,1316,3330
IAH,0.16986884452644,39.30388,8424,21433
YOW,0.16629171444480,39.01988,844,2163
MKE,0.16336876924940,38.89699,1333,3427
CLT,0.16347735006444,38.39016,1779,4634
ROC,0.17883507662701,37.84170,1855,4902
COS,0.17052892781004,37.28814,858,2301
HSV,0.15867860185453,37.16443,443,1192
MBJ,0.15727457983499,37.14760,224,603
FLL,0.16337839962178,36.57601,2192,5993
ALB,0.16921017510653,36.49852,1353,3707
SFO,0.16669559608955,36.17277,9045,25005
MXP,0.15964255262183,35.79262,718,2006
DTW,0.16433017201267,35.55795,2307,6488
TPA,0.16298195900065,35.42285,1910,5392
MBS,0.16206288039244,35.11905,590,1680
CLE,0.16636271553280,33.94574,3566,10505
BDL,0.16280134991874,33.85272,1586,4685
SBN,0.15888106282331,33.40694,1059,3170
DEN,0.16121565654997,32.92246,8814,26772
DUB,0.15762385776607,32.65499,690,2113
LEX,0.15693783439047,32.33927,835,2582
MSY,0.16113788233414,31.80301,1143,3594
SLC,0.16117972846160,31.45081,1576,5011
BOI,0.16121103959164,31.14111,715,2296
LAX,0.15967880123923,31.00917,6591,21255
BUF,0.16753492103273,30.70508,1215,3957
GRR,0.16577902192212,30.62315,1548,5055
RSW,0.16399481151019,30.15259,1403,4653
FCA,0.15734510893372,30.05296,681,2266
MSP,0.15322709973896,29.88622,3257,10898
YYZ,0.15386831012539,29.66380,2347,7912
CMX,0.15718777060155,29.37456,418,1423
TVC,0.15831678490638,29.35213,1187,4044
RDU,0.16179219124272,29.25731,1950,6665
BWI,0.16575811385716,29.05952,1582,5444
CMH,0.15614709812427,28.70725,2174,7573
CRW,0.15456742593631,28.61035,420,1468
CVG,0.15315245974709,28.59209,1779,6222
CAK,0.15027827042286,28.25243,582,2060
ATL,0.15564419954871,28.04114,1745,6223
SCE,0.14963143358187,26.98084,521,1931
CID,0.15403684659143,26.77035,809,3022
STL,0.15193239232059,25.97168,1724,6638
PIT,0.15484021918098,25.73578,1574,6116
YUL,0.15133365479550,25.69035,828,3223
DSM,0.15471278851885,25.61303,1337,5220
EWR,0.14836446269580,25.49559,5286,20733
MCI,0.15769948766193,25.48759,1921,7537
IND,0.15092260978268,25.41436,1564,6154
PHL,0.15368436731006,25.34123,1968,7766
SAV,0.14742616887384,24.69352,705,2855
LGA,0.14144359252634,23.39150,5188,22179
MCO,0.15319055889512,22.77117,2240,9837
IAD,0.15495119764401,21.77928,2453,11263
FAR,0.14793037771133,21.72763,493,2269
DCA,0.13954252531842,21.64275,2685,12406
BCN,0.15405954329490,21.50823,405,1883
ATW,0.14324037028001,20.90569,614,2937
BOS,0.14610561367971,20.81346,3055,14678
SAN,0.15164795891525,20.24345,1846,9119
OMA,0.15363805406669,19.20757,1178,6133
DFW,0.13982161106815,17.29346,1145,6621
ILM,0.15732115533318,16.19497,103,636
LAS,0.14687137996816,16.05263,1586,9880
GRB,0.13927213257791,15.50784,455,2934
DAY,0.13940497639971,13.79451,337,2443
MGW,0.13126147444584,13.40483,50,373
PUJ,0.14700983713373,12.42193,179,1441
BNA,0.13415661405339,12.33255,893,7241
ZRH,0.14969236751429,11.93363,187,1567
MSN,0.13744989170232,11.77939,519,4406
FSD,0.13531414127736,9.83051,290,2950
MEX,0.14318578928834,9.68538,157,1621
RAP,0.13117697849293,4.90857,102,2078
FNT,0.13841070206363,4.62500,74,1600
TUL,0.12908351757147,4.17764,111,2657
CUN,0.13062247907502,4.13428,117,2830
FCO,0.14202095490983,4.02010,72,1791
PHX,0.13384014289614,3.53674,244,6899
MSO,0.13526973075204,3.41656,52,1522
MEM,0.12836041684297,3.30500,105,3177
PIA,0.12883529008107,3.02739,63,2081
MLI,0.12904642093520,2.99715,63,2102
ICT,0.12985852830938,2.38095,64,2688
DLH,0.12597181763223,1.83976,31,1685
BIL,0.12681485329646,1.23077,8,650
JLN,0.12424366943680,1.21065,5,413
XNA,0.12357675199180,0.83992,17,2024
PLN,0.12852523177058,0.74627,7,938
EAU,0.12527348081061,0.59595,5,839
FOD,0.11804835854718,0.59347,2,337
SGF,0.12602689308880,0.56526,11,1946
SRQ,0.12761190829552,0.46296,6,1296
JST,0.12265501663689,0.30488,1,328
PNS,0.12804238381045,0.30075,4,1330
TUS,0.12976505661989,0.26350,2,759
CIU,0.12383247313561,0.21322,1,469
SUX,0.12456787300598,0.19305,1,518
FWA,0.12485104420112,0.09770,2,2047
AUS,0.12178755308398,0.07131,3,4207
LIT,0.12469373165130,0.06653,1,1503
YYC,0.12678253790278,0.00000,0,2229
CHA,0.11930037930675,0.00000,0,1616
MIA,0.12350381817899,0.00000,0,3270
SJO,0.12847437594541,0.00000,0,370
PVR,0.14840069580000,0.00000,0,171
PLS,0.14514995578133,0.00000,0,150
AUA,0.13517699497849,0.00000,0,251
GCM,0.13561004726341,0.00000,0,164
STT,0.13162631470313,0.00000,0,160
MTY,0.12039036302152,0.00000,0,790
YQB,0.12325291883367,0.00000,0,683
GTF,0.12817713383364,0.00000,0,107
UVF,0.12651605987064,0.00000,0,109
YHZ,0.13173515914082,0.00000,0,98
HHH,0.12150723336941,0.00000,0,85
NAS,0.13128432210690,0.00000,0,348
ECP,0.11895342941646,0.00000,0,492
MYR,0.12434122657399,0.00000,0,1284
SJD,0.12566270113678,0.00000,0,174
MTJ,0.11804496344709,0.00000,0,206
OGG,0.13012545014588,0.00000,0,279
ACK,0.11472385218744,0.00000,0,199
LAF,0.11430228805615,0.00000,0,244
LIR,0.11277517824360,0.00000,0,289
