flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,norm_pressure,norm_load,norm_ssr,norm_bags,difficulty_score,difficulty_category
1842,2025-08-13,ORD,SAN,1.000,0.305,0.000,0.103,0.56,Difficult
2067,2025-08-14,ORD,BOS,0.823,0.614,0.096,0.069,0.54,Difficult
972,2025-08-13,ORD,BRU,0.016,0.622,1.000,0.691,0.52,Difficult
972,2025-08-02,ORD,BRU,0.009,0.598,0.819,0.797,0.50,Difficult
1710,2025-08-04,ORD,SMF,0.452,0.531,0.043,0.197,0.49,Difficult
972,2025-08-11,ORD,BRU,0.002,0.583,0.787,0.700,0.48,Difficult
5229,2025-08-09,ORD,ILM,0.548,0.799,0.021,0.071,0.45,Difficult
972,2025-08-14,ORD,BRU,0.016,0.651,0.447,0.783,0.45,Difficult
1761,2025-08-05,ORD,FAT,0.002,0.698,0.851,0.129,0.45,Difficult
972,2025-08-05,ORD,BRU,0.004,0.649,0.532,0.697,0.45,Difficult
881,2025-08-09,ORD,HND,0.081,0.519,0.223,1.000,0.44,Difficult
972,2025-08-12,ORD,BRU,0.016,0.454,0.564,0.794,0.44,Difficult
972,2025-08-06,ORD,BRU,0.014,0.629,0.532,0.606,0.44,Difficult
422,2025-08-04,ORD,ATH,0.013,0.567,0.628,0.486,0.43,Difficult
907,2025-08-09,ORD,FRA,0.013,0.612,0.436,0.540,0.42,Difficult
972,2025-08-07,ORD,BRU,0.002,0.607,0.404,0.663,0.42,Difficult
2154,2025-08-13,ORD,ROC,0.181,0.607,0.181,0.323,0.42,Difficult
972,2025-08-04,ORD,BRU,0.016,0.598,0.255,0.820,0.42,Difficult
972,2025-08-03,ORD,BRU,0.006,0.584,0.383,0.680,0.42,Difficult
1742,2025-08-09,ORD,JAX,0.274,0.440,0.106,0.211,0.41,Difficult
1801,2025-08-13,ORD,DEN,0.012,0.568,0.628,0.231,0.41,Difficult
422,2025-08-14,ORD,ATH,0.013,0.569,0.436,0.546,0.41,Difficult
987,2025-08-06,ORD,CDG,0.009,0.663,0.649,0.123,0.41,Difficult
664,2025-08-14,ORD,LGA,0.274,0.558,0.074,0.086,0.41,Difficult
422,2025-08-11,ORD,ATH,0.013,0.548,0.617,0.286,0.41,Difficult
881,2025-08-09,ORD,HND,0.007,0.519,0.223,1.000,0.41,Difficult
422,2025-08-13,ORD,ATH,0.010,0.516,0.553,0.506,0.41,Difficult
909,2025-08-14,ORD,AMS,0.001,0.537,0.543,0.480,0.41,Difficult
907,2025-08-06,ORD,FRA,0.013,0.509,0.574,0.389,0.41,Difficult
422,2025-08-07,ORD,ATH,0.008,0.521,0.489,0.540,0.41,Difficult
972,2025-08-01,ORD,BRU,0.002,0.579,0.234,0.789,0.40,Difficult
907,2025-08-02,ORD,FRA,0.013,0.673,0.340,0.446,0.40,Difficult
592,2025-08-04,ORD,JAC,0.173,0.785,0.000,0.163,0.40,Difficult
907,2025-08-03,ORD,FRA,0.012,0.576,0.426,0.486,0.40,Difficult
907,2025-08-15,ORD,FRA,0.008,0.591,0.362,0.511,0.40,Difficult
1801,2025-08-09,ORD,DEN,0.014,0.636,0.394,0.357,0.40,Difficult
907,2025-08-13,ORD,FRA,0.012,0.600,0.255,0.643,0.40,Difficult
907,2025-08-05,ORD,FRA,0.013,0.442,0.596,0.389,0.40,Difficult
