flight_number,scheduled_departure_date_local,is_delayed,delay_minutes,day_of_week,departure_hour,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_ground_time_minutes,minimum_turn_minutes,is_tight_turnaround,total_pax,total_seats,load_factor,lap_child_count,transfer_bag_count,checked_bag_count,special_service_request_count
2483,2025-08-06,1,4,4,10,ORD,IAH,181,56,0,1,179,0.0056,0,53,0,29
1620,2025-08-01,1,32,6,8,ORD,SEA,677,62,0,4,200,0.0200,0,55,0,28
1620,2025-08-01,1,32,6,8,ORD,SEA,677,62,0,4,200,0.0200,1,55,0,28
1620,2025-08-01,1,32,6,8,ORD,SEA,677,62,0,4,200,0.0200,0,55,0,28
1620,2025-08-01,1,32,6,8,ORD,SEA,677,62,0,4,200,0.0200,0,55,0,28
2426,2025-08-15,1,8,6,19,ORD,IAH,71,56,0,1,179,0.0056,0,50,0,9
1270,2025-08-09,1,31,7,9,ORD,PUJ,3,70,1,1,179,0.0056,0,17,0,14
4778,2025-08-11,0,-9,2,8,ORD,FAR,50,29,0,1,50,0.0200,0,6,0,0
1413,2025-08-03,1,2,1,8,ORD,LGA,50,51,1,1,166,0.0060,0,12,0,11
2424,2025-08-07,1,32,5,18,ORD,RDU,80,56,0,5,179,0.0279,0,58,0,7
2424,2025-08-07,1,32,5,18,ORD,RDU,80,56,0,5,179,0.0279,0,58,0,7
2424,2025-08-07,1,32,5,18,ORD,RDU,80,56,0,5,179,0.0279,0,58,0,7
907,2025-08-04,1,13,2,18,ORD,FRA,390,155,0,1,318,0.0031,0,153,0,23
3468,2025-08-15,0,0,6,11,ORD,BGR,47,34,0,1,76,0.0132,0,24,0,2
881,2025-08-05,0,-2,3,12,ORD,HND,1420,155,0,1,318,0.0031,0,230,0,60
587,2025-08-03,1,37,1,14,ORD,YUL,96,65,0,1,166,0.0060,0,54,0,1
1710,2025-08-08,1,1,6,19,ORD,SMF,104,60,0,5,166,0.0301,0,83,0,22
1710,2025-08-08,1,1,6,19,ORD,SMF,104,60,0,5,166,0.0301,0,83,0,22
1710,2025-08-08,1,1,6,19,ORD,SMF,104,60,0,5,166,0.0301,0,83,0,22
2483,2025-08-09,1,6,7,10,ORD,IAH,79,62,0,1,179,0.0056,0,87,0,36
777,2025-08-10,1,6,1,19,ORD,LAS,89,51,0,2,166,0.0120,0,29,0,15
374,2025-08-11,1,4,2,16,ORD,MSP,75,43,0,2,126,0.0159,0,48,0,4
2172,2025-08-09,0,-5,7,16,ORD,FAI,91,51,0,2,166,0.0120,0,128,0,11
1899,2025-08-01,1,74,6,20,ORD,YYC,70,52,0,1,126,0.0079,0,36,0,18
1801,2025-08-09,1,22,7,16,ORD,DEN,75,66,0,1,234,0.0043,0,125,0,37
2481,2025-08-13,1,10,4,18,ORD,SYR,75,46,0,1,150,0.0067,0,76,0,6
468,2025-08-07,1,16,5,6,ORD,IAH,575,56,0,2,179,0.0112,0,8,0,38
5915,2025-08-04,1,2,2,16,ORD,LNK,47,29,0,4,50,0.0800,0,36,0,0
5915,2025-08-04,1,2,2,16,ORD,LNK,47,29,0,4,50,0.0800,0,36,0,0
1823,2025-08-10,0,-4,1,7,ORD,IAH,577,62,0,1,200,0.0050,0,5,0,9
1975,2025-08-11,0,-2,2,7,ORD,ATL,667,43,0,1,126,0.0079,0,13,0,2
1859,2025-08-12,1,112,3,16,ORD,SNA,233,43,0,1,126,0.0079,0,32,0,10
2635,2025-08-07,1,47,5,14,ORD,CLT,57,43,0,1,126,0.0079,0,35,0,2
4610,2025-08-08,0,-1,6,12,ORD,XNA,38,29,0,1,50,0.0200,0,13,0,0
1778,2025-08-10,1,11,1,8,ORD,OMA,62,43,0,1,126,0.0079,0,31,0,0
2075,2025-08-12,1,135,3,17,ORD,TPA,74,51,0,4,166,0.0241,0,57,0,7
2137,2025-08-03,0,-2,1,9,ORD,SLC,68,51,0,1,166,0.0060,0,46,0,7
5362,2025-08-11,1,10,2,21,ORD,MKE,184,29,0,1,50,0.0200,0,27,0,15
1301,2025-08-14,1,84,5,20,ORD,ICT,-16,43,1,1,126,0.0079,0,56,0,0
2067,2025-08-02,0,-3,7,7,ORD,BOS,480,56,0,1,179,0.0056,0,20,0,0
1069,2025-08-14,1,52,5,19,ORD,DCA,65,43,0,1,126,0.0079,0,48,0,0
4563,2025-08-05,0,-10,3,12,ORD,FSD,63,29,0,1,50,0.0200,0,24,0,0
5435,2025-08-08,0,-6,6,8,ORD,BDL,45,34,0,1,76,0.0132,0,22,0,4
2090,2025-08-02,1,1,7,7,ORD,MIA,61,57,0,3,166,0.0181,0,10,0,10
1485,2025-08-09,1,29,7,13,ORD,SEA,79,43,0,1,126,0.0079,0,64,0,8
4482,2025-08-02,0,-1,7,15,ORD,TUL,40,29,0,1,50,0.0200,0,38,0,0
2683,2025-08-01,0,-3,6,14,ORD,SAN,63,51,0,1,166,0.0060,0,32,0,0
1620,2025-08-04,0,-7,2,8,ORD,SEA,677,62,0,2,200,0.0100,0,79,0,3
1477,2025-08-11,0,-3,2,7,ORD,PHX,468,56,0,1,179,0.0056,0,3,0,7
359,2025-08-09,1,12,7,9,ORD,MEX,95,60,0,1,150,0.0067,0,48,0,22
2649,2025-08-10,1,4,1,14,ORD,EWR,162,64,0,1,176,0.0057,0,27,0,15
3655,2025-08-07,0,-2,5,12,ORD,PIT,64,34,0,1,76,0.0132,0,25,0,17
669,2025-08-11,0,-3,2,7,ORD,AUS,601,51,0,1,166,0.0060,0,14,0,4
1576,2025-08-10,0,0,1,20,ORD,LGA,80,51,0,1,166,0.0060,0,13,0,4
1899,2025-08-10,1,246,1,20,ORD,YYC,-183,70,1,1,179,0.0056,0,34,0,5
1941,2025-08-07,0,0,5,14,ORD,CVG,71,43,0,1,126,0.0079,0,30,0,20
3,2025-08-14,0,-3,5,15,ORD,ZRH,1545,145,0,1,167,0.0060,0,109,0,8
5309,2025-08-09,1,1,7,20,ORD,FWA,185,29,0,1,50,0.0200,0,39,0,0
1477,2025-08-14,0,-9,5,7,ORD,PHX,92,62,0,2,179,0.0112,0,22,0,4
2616,2025-08-05,1,16,3,12,ORD,PDX,15,51,1,2,166,0.0120,0,33,0,23
2677,2025-08-15,1,5,6,17,ORD,IAD,46,56,1,1,176,0.0057,0,53,0,19
944,2025-08-07,1,5,5,15,ORD,FRA,1560,155,0,1,318,0.0031,0,165,0,31
763,2025-08-07,0,-11,5,10,ORD,PWM,73,51,0,1,166,0.0060,0,30,0,6
4766,2025-08-14,0,-9,5,16,ORD,OKC,42,29,0,1,50,0.0200,0,32,0,3
293,2025-08-08,0,-4,6,11,ORD,LGA,65,60,0,1,166,0.0060,0,16,0,4
5405,2025-08-07,1,17,5,7,ORD,SCE,65,29,0,2,50,0.0400,0,7,0,0
1538,2025-08-04,0,-9,2,11,ORD,SAV,103,56,0,1,179,0.0056,0,24,0,7
2361,2025-08-07,0,-1,5,7,ORD,LAX,5189,66,0,1,234,0.0043,0,34,0,10
1580,2025-08-08,1,79,6,19,ORD,YVR,90,65,0,2,166,0.0120,0,25,0,6
1658,2025-08-01,0,-4,6,6,ORD,EWR,379,56,0,1,179,0.0056,0,40,0,5
669,2025-08-14,0,-10,5,7,ORD,AUS,41,51,1,1,166,0.0060,0,1,0,0
