flight_number,scheduled_departure_date_local,load_factor,special_service_requests,departure_delay_minutes
2483,2025-08-06,0.0056,0,4
1620,2025-08-01,0.0200,0,32
1620,2025-08-01,0.0200,0,32
1620,2025-08-01,0.0200,0,32
1620,2025-08-01,0.0200,0,32
5230,2025-08-03,0.0200,0,32
2426,2025-08-15,0.0056,0,8
1270,2025-08-09,0.0056,0,31
4778,2025-08-11,0.0200,0,-9
286,2025-08-11,0.0056,0,-2
1842,2025-08-09,0.0050,0,6
1413,2025-08-03,0.0060,0,2
2424,2025-08-07,0.0279,0,32
2424,2025-08-07,0.0279,0,32
2424,2025-08-07,0.0279,0,32
622,2025-08-05,0.0027,2,-4
2343,2025-08-03,0.0056,0,41
907,2025-08-04,0.0031,0,13
3468,2025-08-15,0.0132,0,0
881,2025-08-05,0.0031,0,-2
5219,2025-08-15,0.0200,0,-5
587,2025-08-03,0.0060,0,37
1710,2025-08-08,0.0301,0,1
1710,2025-08-08,0.0301,0,1
1710,2025-08-08,0.0301,0,1
2483,2025-08-09,0.0056,0,6
777,2025-08-10,0.0120,0,6
374,2025-08-11,0.0159,0,4
2172,2025-08-09,0.0120,0,-5
1899,2025-08-01,0.0079,0,74
1801,2025-08-09,0.0043,0,22
2481,2025-08-13,0.0067,0,10
468,2025-08-07,0.0112,0,16
1803,2025-08-04,0.0050,0,-4
2254,2025-08-07,0.0050,0,9
2364,2025-08-15,0.0079,0,-6
5915,2025-08-04,0.0800,0,2
5915,2025-08-04,0.0800,0,2
4611,2025-08-06,0.0400,0,-8
1823,2025-08-10,0.0050,0,-4
4461,2025-08-13,0.0200,0,76
2677,2025-08-07,0.0057,0,217
1975,2025-08-11,0.0079,0,-2
1859,2025-08-12,0.0079,2,112
2635,2025-08-07,0.0079,0,47
4610,2025-08-08,0.0200,0,-1
1778,2025-08-10,0.0079,0,11
2075,2025-08-12,0.0241,0,135
2137,2025-08-03,0.0060,0,-2
2683,2025-08-07,0.0181,0,57
5362,2025-08-11,0.0200,0,10
1168,2025-08-05,0.0050,0,7
1301,2025-08-14,0.0079,0,84
2067,2025-08-02,0.0056,0,-3
1069,2025-08-14,0.0079,0,52
1983,2025-08-09,0.0100,0,-6
4563,2025-08-05,0.0200,0,-10
5435,2025-08-08,0.0132,0,-6
2090,2025-08-02,0.0181,0,1
1485,2025-08-09,0.0079,0,29
4482,2025-08-02,0.0200,0,-1
2683,2025-08-01,0.0060,0,-3
1620,2025-08-04,0.0100,0,-7
1477,2025-08-11,0.0056,0,-3
359,2025-08-09,0.0067,0,12
2649,2025-08-10,0.0057,0,4
3655,2025-08-07,0.0132,7,-2
669,2025-08-11,0.0060,0,-3
5337,2025-08-14,0.0132,0,145
1576,2025-08-10,0.0060,0,0
1899,2025-08-10,0.0056,0,246
1941,2025-08-07,0.0079,0,0
3,2025-08-14,0.0060,0,-3
5309,2025-08-09,0.0200,0,1
1477,2025-08-14,0.0112,0,-9
2616,2025-08-05,0.0120,0,16
2665,2025-08-01,0.0223,0,43
2677,2025-08-15,0.0057,0,5
944,2025-08-07,0.0031,0,5
763,2025-08-07,0.0060,0,-11
2649,2025-08-02,0.0057,0,56
4766,2025-08-14,0.0200,0,-9
293,2025-08-08,0.0060,0,-4
5405,2025-08-07,0.0400,0,17
1538,2025-08-04,0.0056,0,-9
5901,2025-08-10,0.0132,2,92
2361,2025-08-07,0.0043,0,-1
1580,2025-08-08,0.0120,0,79
1658,2025-08-01,0.0056,0,-4
669,2025-08-14,0.0060,0,-10
2361,2025-08-11,0.0043,0,-5
1848,2025-08-06,0.0079,0,-7
2683,2025-08-05,0.0060,0,-4
1205,2025-08-09,0.0056,0,31
1980,2025-08-01,0.0241,0,0
1980,2025-08-01,0.0241,0,0
739,2025-08-05,0.0133,0,16
3433,2025-08-15,0.0132,0,-1
2059,2025-08-14,0.0056,0,0
1252,2025-08-02,0.0079,0,4
793,2025-08-14,0.0079,0,6
534,2025-08-01,0.0050,0,10
1304,2025-08-07,0.0223,0,2
4481,2025-08-04,0.0200,0,-6
4481,2025-08-04,0.0200,0,-6
2361,2025-08-03,0.0085,0,-3
1775,2025-08-04,0.0056,0,0
1775,2025-08-04,0.0056,0,-1
622,2025-08-05,0.0027,0,-4
3571,2025-08-08,0.0571,0,-4
3571,2025-08-08,0.0571,0,-4
1899,2025-08-02,0.0079,0,6
1801,2025-08-01,0.0085,0,101
1801,2025-08-01,0.0085,0,101
1538,2025-08-03,0.0079,0,-2
5603,2025-08-01,0.0200,0,78
2106,2025-08-10,0.0150,0,-1
2106,2025-08-10,0.0150,0,-1
476,2025-08-01,0.0079,0,0
1301,2025-08-02,0.0079,0,27
2040,2025-08-06,0.0056,0,108
2385,2025-08-03,0.0060,0,-4
2652,2025-08-04,0.0060,0,113
2040,2025-08-12,0.0056,0,92
4571,2025-08-05,0.0200,0,0
4645,2025-08-05,0.0200,0,-12
490,2025-08-07,0.0079,0,-6
721,2025-08-04,0.0056,0,-6
2290,2025-08-11,0.0079,0,-2
2364,2025-08-15,0.0079,0,-6
2616,2025-08-05,0.0060,0,16
2038,2025-08-15,0.0079,0,36
1583,2025-08-12,0.0056,0,7
2148,2025-08-08,0.0067,0,0
2394,2025-08-15,0.0043,0,9
1304,2025-08-02,0.0223,2,-2
3635,2025-08-08,0.0143,0,4
2494,2025-08-12,0.0056,0,136
5557,2025-08-01,0.0132,0,-8
4501,2025-08-06,0.0200,0,-6
1358,2025-08-02,0.0079,0,-7
5557,2025-08-12,0.0395,0,16
5557,2025-08-12,0.0395,0,16
5557,2025-08-12,0.0395,0,16
1946,2025-08-08,0.0060,0,-9
2658,2025-08-01,0.0133,0,0
786,2025-08-02,0.0200,0,9
1740,2025-08-11,0.0060,0,10
5229,2025-08-07,0.0263,0,-3
5577,2025-08-01,0.0263,0,-4
5577,2025-08-01,0.0263,0,-4
3468,2025-08-11,0.0263,0,-8
1304,2025-08-06,0.0056,0,-4
1693,2025-08-12,0.0079,0,245
1967,2025-08-08,0.0056,0,1
2137,2025-08-07,0.0060,0,-1
1421,2025-08-08,0.0050,0,-7
2661,2025-08-07,0.0060,0,-5
2137,2025-08-13,0.0060,0,16
2179,2025-08-03,0.0043,0,68
2004,2025-08-11,0.0067,0,8
2649,2025-08-04,0.0057,0,-4
907,2025-08-14,0.0031,0,145
1361,2025-08-09,0.0159,0,6
1252,2025-08-03,0.0159,0,-3
265,2025-08-03,0.0079,0,22
1584,2025-08-10,0.0050,0,-7
1941,2025-08-05,0.0079,0,-8
2201,2025-08-01,0.0056,0,-4
953,2025-08-14,0.0041,0,2
881,2025-08-09,0.0031,0,0
767,2025-08-03,0.0100,0,17
5103,2025-08-05,0.0400,0,14
2683,2025-08-01,0.0060,0,-3
4792,2025-08-04,0.0263,0,7
2684,2025-08-09,0.0056,0,-4
2004,2025-08-11,0.0067,2,8
1909,2025-08-10,0.0056,0,96
2364,2025-08-13,0.0060,0,-5
2426,2025-08-04,0.0056,0,123
5380,2025-08-08,0.0132,0,-4
1525,2025-08-10,0.0079,0,0
378,2025-08-07,0.0112,0,-4
2195,2025-08-15,0.0060,0,1
5395,2025-08-06,0.0143,0,12
411,2025-08-04,0.0317,0,12
411,2025-08-04,0.0317,0,12
411,2025-08-04,0.0317,0,12
1599,2025-08-07,0.0055,0,45
4173,2025-08-04,0.0200,0,-5
1742,2025-08-14,0.0120,0,-4
1576,2025-08-03,0.0060,0,3
5125,2025-08-04,0.0200,0,-9
3536,2025-08-08,0.0132,0,-1
4389,2025-08-12,0.0200,0,97
2494,2025-08-15,0.0056,0,10
5526,2025-08-14,0.0200,0,57
2323,2025-08-06,0.0050,0,-7
1491,2025-08-10,0.0079,0,48
1708,2025-08-07,0.0079,0,3
1168,2025-08-12,0.0300,0,20
476,2025-08-12,0.0079,0,-5
5610,2025-08-11,0.0200,0,174
2387,2025-08-14,0.0056,0,-7
4479,2025-08-02,0.0200,0,-8
503,2025-08-05,0.0085,0,-2
1269,2025-08-01,0.0159,0,2
5392,2025-08-04,0.0132,0,10
1421,2025-08-08,0.0050,0,-7
609,2025-08-06,0.0112,0,-5
2067,2025-08-03,0.0079,0,-8
5470,2025-08-15,0.0132,0,-4
5607,2025-08-11,0.0143,0,0
5699,2025-08-06,0.0263,0,-6
1941,2025-08-05,0.0079,0,-8
2497,2025-08-05,0.0079,0,-1
845,2025-08-10,0.0031,0,90
3601,2025-08-07,0.0132,0,-5
2182,2025-08-06,0.0067,0,-6
416,2025-08-03,0.0041,0,34
3668,2025-08-07,0.0132,0,-3
4461,2025-08-08,0.0200,0,-14
374,2025-08-07,0.0079,0,21
5577,2025-08-01,0.0132,0,-4
5290,2025-08-07,0.0143,0,49
2211,2025-08-07,0.0060,0,12
422,2025-08-14,0.0031,0,3
602,2025-08-08,0.0112,0,0
602,2025-08-08,0.0112,0,0
4563,2025-08-05,0.0200,0,-10
1403,2025-08-13,0.0079,0,42
2137,2025-08-13,0.0060,0,16
3468,2025-08-05,0.0263,0,-5
1082,2025-08-14,0.0133,0,8
1082,2025-08-14,0.0133,0,8
1899,2025-08-06,0.0079,0,80
343,2025-08-10,0.0133,0,5
2071,2025-08-15,0.0223,0,1
2071,2025-08-15,0.0223,0,1
5631,2025-08-12,0.0200,0,316
5988,2025-08-10,0.0132,0,100
1301,2025-08-02,0.0079,0,27
2343,2025-08-01,0.0056,0,9
5819,2025-08-01,0.0200,0,-7
3628,2025-08-08,0.0132,0,-1
2038,2025-08-13,0.0159,0,33
2177,2025-08-01,0.0079,0,4
343,2025-08-02,0.0050,0,-1
4712,2025-08-10,0.0143,0,28
4452,2025-08-14,0.0200,0,254
2347,2025-08-15,0.0060,0,10
1387,2025-08-05,0.0056,0,-4
5795,2025-08-11,0.0132,0,-1
909,2025-08-12,0.0165,0,30
3663,2025-08-10,0.0132,0,1
2004,2025-08-15,0.0133,4,15
2059,2025-08-06,0.0112,0,133
1996,2025-08-11,0.0050,0,-3
1643,2025-08-06,0.0056,0,-9
399,2025-08-13,0.0060,0,-3
2201,2025-08-01,0.0279,0,-4
2201,2025-08-01,0.0279,0,-4
310,2025-08-10,0.0079,0,88
3603,2025-08-15,0.0143,0,-12
2629,2025-08-07,0.0056,0,-1
1617,2025-08-09,0.0133,0,0
1989,2025-08-01,0.0112,0,1
2137,2025-08-13,0.0060,0,16
1209,2025-08-07,0.0056,0,54
791,2025-08-12,0.0050,0,11
2201,2025-08-08,0.0056,0,-7
1205,2025-08-09,0.0056,0,31
2649,2025-08-04,0.0057,0,-4
1068,2025-08-08,0.0057,0,-3
2629,2025-08-01,0.0056,0,-2
1538,2025-08-04,0.0056,0,-9
2385,2025-08-06,0.0241,0,-2
2385,2025-08-06,0.0241,0,-2
617,2025-08-07,0.0060,0,55
1659,2025-08-08,0.0223,0,-5
1659,2025-08-08,0.0223,0,-5
622,2025-08-05,0.0027,0,-4
617,2025-08-07,0.0060,0,55
1803,2025-08-04,0.0050,0,-4
1224,2025-08-08,0.0112,0,-5
669,2025-08-10,0.0060,0,-7
2290,2025-08-08,0.0159,2,4
1377,2025-08-13,0.0112,0,67
1811,2025-08-02,0.0060,2,5
1946,2025-08-04,0.0060,0,-7
611,2025-08-01,0.0043,0,29
276,2025-08-08,0.0050,0,-4
4645,2025-08-11,0.0200,0,-2
2628,2025-08-12,0.0112,0,119
2465,2025-08-05,0.0279,0,69
2465,2025-08-05,0.0279,0,69
5094,2025-08-08,0.0200,0,-10
349,2025-08-13,0.0060,0,13
5125,2025-08-03,0.0200,0,-3
2179,2025-08-12,0.0043,0,41
2629,2025-08-03,0.0056,0,-3
2226,2025-08-04,0.0112,0,-1
1761,2025-08-04,0.0159,0,38
5963,2025-08-08,0.0143,0,-5
2133,2025-08-07,0.0057,0,130
1599,2025-08-05,0.0027,0,-2
938,2025-08-05,0.0060,0,7
2389,2025-08-06,0.0056,0,0
561,2025-08-04,0.0112,0,-4
970,2025-08-13,0.0063,0,1
3433,2025-08-07,0.0132,0,10
1403,2025-08-10,0.0067,0,16
5763,2025-08-04,0.0132,0,-3
5557,2025-08-04,0.0132,0,13
5037,2025-08-05,0.0200,0,-6
276,2025-08-05,0.0050,0,9
845,2025-08-05,0.0031,0,2
4476,2025-08-05,0.0200,0,-3
1495,2025-08-08,0.0060,0,8
1413,2025-08-11,0.0060,0,0
4389,2025-08-04,0.0200,0,2
3603,2025-08-03,0.0526,0,1
1612,2025-08-10,0.0079,0,13
416,2025-08-08,0.0123,0,-2
416,2025-08-08,0.0123,0,-2
224,2025-08-04,0.0060,0,-6
1946,2025-08-04,0.0060,0,-7
972,2025-08-04,0.0126,0,31
980,2025-08-02,0.0041,0,58
4389,2025-08-01,0.0200,0,-6
5229,2025-08-07,0.0132,0,-3
2040,2025-08-04,0.0056,0,-1
1941,2025-08-05,0.0079,0,-8
2494,2025-08-08,0.0056,0,26
3542,2025-08-14,0.0132,0,4
1363,2025-08-10,0.0050,0,2
1314,2025-08-05,0.0050,0,31
310,2025-08-05,0.0079,0,-2
4395,2025-08-05,0.0400,0,-6
5290,2025-08-02,0.0286,0,-1
1347,2025-08-09,0.0056,0,19
1576,2025-08-04,0.0060,0,63
1448,2025-08-08,0.0079,0,-12
1643,2025-08-01,0.0056,0,-3
920,2025-08-07,0.0060,0,15
1785,2025-08-07,0.0056,0,9
5219,2025-08-03,0.0200,0,1
4636,2025-08-04,0.0200,0,-2
580,2025-08-11,0.0056,0,9
2683,2025-08-13,0.0060,0,20
4645,2025-08-05,0.0200,0,-12
490,2025-08-07,0.0079,0,-6
3718,2025-08-03,0.0132,0,-2
1693,2025-08-04,0.0079,0,3
2182,2025-08-08,0.0133,0,126
2182,2025-08-08,0.0133,0,126
739,2025-08-04,0.0067,0,5
378,2025-08-07,0.0056,0,-4
5380,2025-08-08,0.0132,0,-4
2658,2025-08-11,0.0200,0,-6
2658,2025-08-11,0.0200,0,-6
2106,2025-08-10,0.0150,0,-1
2106,2025-08-10,0.0150,0,-1
2385,2025-08-15,0.0223,0,-2
2385,2025-08-15,0.0223,0,-2
611,2025-08-04,0.0043,0,-3
4780,2025-08-15,0.0200,0,100
1477,2025-08-06,0.0168,0,-7
1477,2025-08-06,0.0168,0,-7
349,2025-08-08,0.0079,0,-4
3655,2025-08-07,0.0132,0,-2
1801,2025-08-08,0.0043,0,138
422,2025-08-09,0.0031,0,-4
